unitid,month,high_earning,post_scorecard,avg_index,n_keywords
100654,2013-03-01,0,0,-0.115334089120045,6
100654,2013-04-01,0,0,-0.0351160896615638,12
100654,2013-05-01,0,0,-0.528569767356418,12
100654,2013-06-01,0,0,-0.44045506011061,15
100654,2013-07-01,0,0,0.0279823860084167,12
100654,2013-08-01,0,0,1.21424531775063,12
100654,2013-09-01,0,0,1.09869399095248,15
100654,2013-10-01,0,0,0.254443085171793,12
100654,2013-11-01,0,0,-0.160003956455917,12
100654,2013-12-01,0,0,-0.541739668869409,15
100654,2014-01-01,0,0,0.00401765128073213,12
100654,2014-02-01,0,0,-0.168506659491742,12
100654,2014-03-01,0,0,-0.143663235360112,15
100654,2014-04-01,0,0,-0.0716772833097929,12
100654,2014-05-01,0,0,-0.367114167704033,12
100654,2014-06-01,0,0,-0.374675712686547,15
100654,2014-07-01,0,0,-0.21222131919977,12
100654,2014-08-01,0,0,1.10531186503399,15
100654,2014-09-01,0,0,0.629388040076531,12
100654,2014-10-01,0,0,0.651909384564502,12
100654,2014-11-01,0,0,-0.0252178060925595,15
100654,2014-12-01,0,0,-0.288796676036248,12
100654,2015-01-01,0,0,0.833806005184954,12
100654,2015-02-01,0,0,-0.318180162947517,12
100654,2015-03-01,0,0,-0.580860866313634,15
100654,2015-04-01,0,0,-0.153377097374136,12
100654,2015-05-01,0,0,-0.605778101735047,15
100654,2015-06-01,0,0,-0.720322069291183,12
100654,2015-07-01,0,0,-0.415715676662772,12
100654,2015-08-01,0,0,0.558107202147546,15
100654,2015-09-01,0,1,0.397385806802679,12
100654,2015-10-01,0,1,0.432251022338288,12
100654,2015-11-01,0,1,-0.110436160680088,15
100654,2015-12-01,0,1,-0.519732020363089,12
100654,2016-01-01,0,1,0.11486063487486,15
100654,2016-02-01,0,1,-0.130400363399452,12
100654,2016-03-01,0,1,-0.731424393631886,9
100663,2013-03-01,0,0,0.329075957306042,4
100663,2013-04-01,0,0,0.50782920603326,16
100663,2013-05-01,0,0,0.420735164115159,16
100663,2013-06-01,0,0,-0.0466874078872342,20
100663,2013-07-01,0,0,0.468975503594417,16
100663,2013-08-01,0,0,0.530036752680317,16
100663,2013-09-01,0,0,0.584772402090078,20
100663,2013-10-01,0,0,0.26901423485321,16
100663,2013-11-01,0,0,0.239450761381275,16
100663,2013-12-01,0,0,-0.0686020758584822,20
100663,2014-01-01,0,0,0.497810526439294,16
100663,2014-02-01,0,0,0.244514145287899,16
100663,2014-03-01,0,0,0.161032198980779,20
100663,2014-04-01,0,0,0.145907003746424,16
100663,2014-05-01,0,0,-0.0692786303624321,16
100663,2014-06-01,0,0,-0.163130243928096,20
100663,2014-07-01,0,0,0.030669259165078,16
100663,2014-08-01,0,0,0.286815949636231,20
100663,2014-09-01,0,0,0.447605065282842,16
100663,2014-10-01,0,0,0.164866176309173,16
100663,2014-11-01,0,0,1.3298388742952,20
100663,2014-12-01,0,0,-0.417012493604478,16
100663,2015-01-01,0,0,-0.207701823077669,16
100663,2015-02-01,0,0,-0.421906887285043,16
100663,2015-03-01,0,0,0.227258876492903,20
100663,2015-04-01,0,0,-0.31534191469489,16
100663,2015-05-01,0,0,-0.403924726655242,20
100663,2015-06-01,0,0,-0.658271319802437,16
100663,2015-07-01,0,0,-0.284761082702845,16
100663,2015-08-01,0,0,-0.17195086491791,20
100663,2015-09-01,0,1,-0.354838343249823,16
100663,2015-10-01,0,1,-0.390448570202884,16
100663,2015-11-01,0,1,-0.440714403394294,20
100663,2015-12-01,0,1,-1.01897133085793,16
100663,2016-01-01,0,1,-0.523851618097854,20
100663,2016-02-01,0,1,-0.591374565666296,16
100663,2016-03-01,0,1,-0.377796036870964,12
100690,2013-03-01,0,0,0.9967740767456,4
100690,2013-04-01,0,0,1.38137712920063,8
100690,2013-05-01,0,0,0.137296734014081,8
100690,2013-06-01,0,0,0.734965631975904,10
100690,2013-07-01,0,0,0.788331958974845,8
100690,2013-08-01,0,0,0.374037956401633,8
100690,2013-09-01,0,0,0.203828108943296,10
100690,2013-10-01,0,0,0.0298862484269511,8
100690,2013-11-01,0,0,-0.570562401220501,8
100690,2013-12-01,0,0,-0.529187099056377,10
100690,2014-01-01,0,0,0.468162300669797,8
100690,2014-02-01,0,0,0.263573289345742,8
100690,2014-03-01,0,0,0.358148684912071,10
100690,2014-04-01,0,0,-0.565349692278159,8
100690,2014-05-01,0,0,-0.581290552576916,8
100690,2014-06-01,0,0,0.131585324281527,10
100690,2014-07-01,0,0,-0.693881504100641,8
100690,2014-08-01,0,0,0.444448232182145,10
